IDENTIFIER,DIRX,DIRY,DIRZ,SURFACEANGLE,LOCX,LOCY,LOCZ,2DLOCX,2DLOCY,2DLOCZ,WAVELENGTH,RGBCOLOR,DISTANCE,CASUALTYINTENSITY,TRACESOURCEINTENSITY,INTENSITYFRACTION,Pol1DirX,Pol1DirY,Pol1DirZ,Pol1Len,Pol2DirX,Pol2DirY,Pol2DirZ,Pol2Len
spiral_1_r,0.832050948079558,0,0.554699215611405,0.982794901798007,0.32614276611634,-0.00275461785557141,0.2,0.0761427661163402,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0739647294979239,1,0.0739647294979239,0,0.271964573975495,0,0.271964573975495,2.78215372750824E-07,0,-4.17324124773597E-07,5.0156078271026E-07
spiral_1_t_r_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.330142770655941,-0.00275461785557141,0.2,0.0801427706559411,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0578578152361867,1,0.0578578152361867,0,-0.2405365153899,0,0.2405365153899,-2.8878474711754E-07,0,4.33178226807509E-07,5.20615027009248E-07
spiral_1_t_t_r_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.351142824280092,-0.00275461785557141,0.2,0.101142824280092,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0462011166874759,1,0.0462011166874759,0,0.214944450235817,0,0.214944450235817,3.02861397388033E-07,0,-4.54293256130992E-07,5.45992114040057E-07
spiral_1_t_t_t_r_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.355142828819693,-0.00275461785557141,0.2,0.105142828819693,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0374557344936787,1,0.0374557344936787,0,-0.193534840515463,0,0.193534840515463,-3.20037812963007E-07,0,4.80057945284218E-07,5.76957392323428E-07
spiral_1_t_t_t_t_r_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.376142882443843,-0.00275461785557141,0.2,0.126142882443843,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0307124010334455,1,0.0307124010334455,0,0.175249539323416,0,0.175249539323416,3.40113185900511E-07,0,-5.10171081585104E-07,6.13148849553769E-07
spiral_1_t_t_t_t_t_r_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.380142886983444,-0.00275461785557141,0.2,0.130142886983444,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0254013331104636,1,0.0254013331104636,0,-0.159377956788369,0,0.159377956788369,-3.6301058506606E-07,0,5.44517268037254E-07,6.54427795910869E-07
spiral_1_t_t_t_t_t_t_r_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.401142940607595,-0.00275461785557141,0.2,0.151142940607595,0.247245382144429,0,4.13E-07,#4C00FF,0,0.021148262600508,1,0.021148262600508,0,0.145424422295627,0,0.145424422295627,3.88734271651523E-07,0,-5.83102896444794E-07,7.00801913381198E-07
spiral_1_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.405142945147196,-0.00275461785557141,0.2,0.155142945147196,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0176975658038432,1,0.0176975658038432,0,-0.133032198370459,0,0.133032198370459,-4.17346428019174E-07,0,6.26021240589313E-07,7.52383303010736E-07
spiral_1_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.426142998771346,-0.00275461785557141,0.2,0.176142998771346,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0148687664855466,1,0.0148687664855466,0,0.121937551578222,0,0.121937551578222,4.48954007789207E-07,0,-6.73432731310764E-07,8.09364778521198E-07
spiral_1_t_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.430143003310947,-0.00275461785557141,0.2,0.180143003310947,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0125307380749134,1,0.0125307380749134,0,-0.111940779317249,0,0.111940779317249,-4.83701192363209E-07,0,7.25553641263785E-07,8.72006267090281E-07
spiral_1_t_t_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.451143056935098,-0.00275461785557141,0.2,0.201143056935098,0.247245382144429,0,4.13E-07,#4C00FF,0,0.0105857960129813,1,0.0105857960129813,0,0.102887297622673,0,0.102887297622673,5.21765118390579E-07,0,-7.82649676100962E-07,9.40627106918611E-07
spiral_1_t_t_t_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.455143061474699,-0.00275461785557141,0.2,0.205143061474699,0.247245382144429,0,4.13E-07,#4C00FF,0,0.00895956034872244,1,0.00895956034872244,0,-0.0946549541634826,0,0.0946549541634826,-5.63353608327815E-07,0,8.45032570303062E-07,1.01560195593006E-06
spiral_1_t_t_t_t_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.476143115098849,-0.00275461785557141,0.2,0.226143115098849,0.247245382144429,0,4.13E-07,#4C00FF,0,0.00759430827686484,1,0.00759430827686484,0,0.0871453284787007,0,0.0871453284787007,6.08704190473945E-07,0,-9.13058617228432E-07,1.0973590251124E-06
spiral_1_t_t_t_t_t_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.48014311963845,-0.00275461785557141,0.2,0.23014311963845,0.247245382144429,0,4.13E-07,#4C00FF,0,0.00644450254298001,1,0.00644450254298001,0,-0.080277659043924,0,0.080277659043924,-6.58083996254415E-07,0,9.87128515038433E-07,1.18637989334284E-06
spiral_1_t_t_t_t_t_t_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.501143173262601,-0.00275461785557141,0.2,0.251143173262601,0.247245382144429,0,4.13E-07,#4C00FF,0,0.00547371225004566,1,0.00547371225004566,0,0.0739845406040955,0,0.0739845406040955,7.11790292516167E-07,0,-1.0676881651421E-06,1.28320046699834E-06
spiral_1_t_t_t_t_t_t_t_t_t_t_t_t_t_t_t_r_t_t_t_t_t_t_t_t_t_t_t_t_t_t_t,0.832050948079558,0,0.554699215611405,0.982794901798007,0.505143177802202,-0.00275461785557141,0.2,0.255143177802202,0.247245382144429,0,4.13E-07,#4C00FF,0,0.00465244534396969,1,0.00465244534396969,0,-0.0682088362460613,0,0.0682088362460613,-7.7015150526475E-07,0,1.15523020780572E-06,1.38841282552719E-06
